name,role,scope,classification,cutover_action,rationale,identical,sha256_plugin,sha256_vault,bytes_plugin,bytes_vault,bytes_delta,model_plugin,model_vault,plugin_hash_changed_since_phase0,vault_hash_changed_since_phase0,vault_residue_markers,filename_plugin,filename_vault,classification_sugerida_phase0
3d-artist-rigger,operational,VAULT_ONLY,INTENTIONAL-EXCLUSION,keep intentional,stack jogo (spec 2.2),,,119ff83639e2d0299c4e37fbebc5e4a6f749d3e5ae8618ad2568dab98e8779b6,,11571,,,opus,,no,identity_lider,,3d-artist-rigger.md,INTENTIONAL-EXCLUSION
accessibility-specialist,operational,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,7696d8174200a8c8140d4ff169e979dec034d9b85f3a87458120ce192b97ec5c,05352f26c1dc6c6b3aabfbe6c801745c062012e9802af0668935049a43e1253f,15092,13867,1225,opus,opus,no,no,identity_lider;wikilinks,accessibility-specialist.md,accessibility-specialist.md,CORE-GENERIC
applied-ai-engineer,operational,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,58e4f5f9e662b344e0eb1b44349bc714fe95d2108c2393b9cd45980c367e8906,d8573dfeb836426ea403560121610ae006560c4c635b22c44504cc3d88a353a7,15339,14147,1192,opus,opus,no,no,identity_lider;wikilinks,applied-ai-engineer.md,applied-ai-engineer.md,CORE-GENERIC
art-director,operational,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,801b81e3739bf903a39e2511a77b70e841fc1d8a8e7521bd82aed7f8612e18ed,f2a7151fa34d22e3af0d60012c858ed16e108fb9a5f3c5b2587ece586aa52809,16366,14560,1806,opus,opus,no,no,identity_lider,art-director.md,art-director.md,CORE-GENERIC
audio-designer-composer,operational,VAULT_ONLY,INTENTIONAL-EXCLUSION,keep intentional,stack jogo (spec 2.2),,,139c625eb794c83a1fbaee0530bdbb9c4069809ab855e894cfd4c307e4957347,,13268,,,opus,,no,identity_lider,,audio-designer-composer.md,INTENTIONAL-EXCLUSION
backend-engineer,operational,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,77754ce89138b2082908cea22c761736189184bfc7235a0a63ef5be8955c28aa,67d37d8ccc60eb24365878c8108bfa2d1b2b444ba126f31c0d1364d55719dc5c,19961,18582,1379,opus,opus,no,no,identity_lider;wikilinks;caveman;qt23,backend-engineer.md,backend-engineer.md,CORE-GENERIC
business-analyst,operational,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,2f81db6da0b11158eb73111cc3beea6850ba17e72e1d0d81b7bd2ab77e9c6661,0cc75e39d958707dad45493a77d101c7bb5d5c001f75a588c5736a25b5c55dc4,4416,3539,877,opus,opus,no,no,identity_lider;wikilinks,business-analyst.md,business-analyst.md,CORE-GENERIC
caetano-cto,c-level,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,fa0cf2876de591dccd77adffaacb4bea4827a27a1a82217d61e7ce622c53417f,bbbdbf6769f7d897da323b68bc80c92d09ced17809a66fbe67f429c6cd8dc571,6127,4617,1510,opus,opus,no,no,identity_lider;wikilinks,caetano-cto.md,caetano-cto.md,CORE-GENERIC
caio-caio,c-level,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,1664f944bbbcd79998169cb547d5403a5343177c9b65219b7d992f3581f116a8,895d2c46a4cbcf00f9c1edb7eaf3315191182718ea580c371b7322d05967afac,7738,6386,1352,opus,opus,no,no,identity_lider;wikilinks,caio-caio.md,caio-caio.md,CORE-GENERIC
camilo-cmo,c-level,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,9e032b6db0026c9a6dee4caaf26be7cfe81be1ccd1ba80e78a4fafa051ef73c8,2499ede28dd8a96f0ade26b67b3bc09710f92d42e04ac557ec07c61d4c5b4e76,5347,3988,1359,opus,opus,no,no,identity_lider;wikilinks,camilo-cmo.md,camilo-cmo.md,CORE-GENERIC
