name,scope,sha256_plugin,sha256_vault,identical,classification_sugerida,bytes_plugin,bytes_vault,model_plugin,model_vault,tools_plugin,has_Agent_plugin,has_Bash_plugin,filename_plugin,filename_vault
3d-artist-rigger,VAULT_ONLY,,119ff83639e2d0299c4e37fbebc5e4a6f749d3e5ae8618ad2568dab98e8779b6,,INTENTIONAL-EXCLUSION,,11571,,opus,,,,,3d-artist-rigger.md
accessibility-specialist,INTERSECTION,7696d8174200a8c8140d4ff169e979dec034d9b85f3a87458120ce192b97ec5c,05352f26c1dc6c6b3aabfbe6c801745c062012e9802af0668935049a43e1253f,no,CORE-GENERIC,15092,13867,opus,opus,Read;Edit;Write;Grep;Glob;Bash;WebFetch;TaskCreate;TaskGet;TaskList;TaskUpdate;AskUserQuestion,no,yes,accessibility-specialist.md,accessibility-specialist.md
applied-ai-engineer,INTERSECTION,58e4f5f9e662b344e0eb1b44349bc714fe95d2108c2393b9cd45980c367e8906,d8573dfeb836426ea403560121610ae006560c4c635b22c44504cc3d88a353a7,no,CORE-GENERIC,15339,14147,opus,opus,Read;Edit;Write;Grep;Glob;Bash;WebFetch;WebSearch;TaskCreate;TaskGet;TaskList;TaskUpdate;AskUserQuestion,no,yes,applied-ai-engineer.md,applied-ai-engineer.md
art-director,INTERSECTION,801b81e3739bf903a39e2511a77b70e841fc1d8a8e7521bd82aed7f8612e18ed,f2a7151fa34d22e3af0d60012c858ed16e108fb9a5f3c5b2587ece586aa52809,no,CORE-GENERIC,16366,14560,opus,opus,Read;Edit;Write;Grep;Glob;Bash;WebFetch;TaskCreate;TaskGet;TaskList;TaskUpdate;AskUserQuestion,no,yes,art-director.md,art-director.md
audio-designer-composer,VAULT_ONLY,,139c625eb794c83a1fbaee0530bdbb9c4069809ab855e894cfd4c307e4957347,,INTENTIONAL-EXCLUSION,,13268,,opus,,,,,audio-designer-composer.md
backend-engineer,INTERSECTION,77754ce89138b2082908cea22c761736189184bfc7235a0a63ef5be8955c28aa,67d37d8ccc60eb24365878c8108bfa2d1b2b444ba126f31c0d1364d55719dc5c,no,CORE-GENERIC,19961,18582,opus,opus,Read;Edit;Write;Grep;Glob;Bash;WebFetch;WebSearch;TaskCreate;TaskGet;TaskList;TaskUpdate;AskUserQuestion,no,yes,backend-engineer.md,backend-engineer.md
business-analyst,INTERSECTION,2f81db6da0b11158eb73111cc3beea6850ba17e72e1d0d81b7bd2ab77e9c6661,0cc75e39d958707dad45493a77d101c7bb5d5c001f75a588c5736a25b5c55dc4,no,CORE-GENERIC,4416,3539,opus,opus,Read;Edit;Grep;Glob;WebFetch;WebSearch;TaskCreate;TaskGet;TaskList;TaskUpdate;Write;AskUserQuestion,no,no,business-analyst.md,business-analyst.md
caetano-cto,INTERSECTION,fa0cf2876de591dccd77adffaacb4bea4827a27a1a82217d61e7ce622c53417f,bbbdbf6769f7d897da323b68bc80c92d09ced17809a66fbe67f429c6cd8dc571,no,CORE-GENERIC,6127,4617,opus,opus,Agent;Read;Edit;Grep;Glob;Bash;WebFetch;WebSearch;TaskCreate;TaskGet;TaskList;TaskUpdate;Write;AskUserQuestion,yes,yes,caetano-cto.md,caetano-cto.md
caio-caio,INTERSECTION,1664f944bbbcd79998169cb547d5403a5343177c9b65219b7d992f3581f116a8,895d2c46a4cbcf00f9c1edb7eaf3315191182718ea580c371b7322d05967afac,no,CORE-GENERIC,7738,6386,opus,opus,Agent;Read;Edit;Grep;Glob;Bash;WebFetch;WebSearch;TaskCreate;TaskGet;TaskList;TaskUpdate;Write;AskUserQuestion,yes,yes,caio-caio.md,caio-caio.md
camilo-cmo,INTERSECTION,9e032b6db0026c9a6dee4caaf26be7cfe81be1ccd1ba80e78a4fafa051ef73c8,2499ede28dd8a96f0ade26b67b3bc09710f92d42e04ac557ec07c61d4c5b4e76,no,CORE-GENERIC,5347,3988,opus,opus,Agent;Read;Edit;Grep;Glob;WebFetch;WebSearch;TaskCreate;TaskGet;TaskList;TaskUpdate;Write;AskUserQuestion,yes,no,camilo-cmo.md,camilo-cmo.md
candido-cdo,INTERSECTION,19e88188878615a772727e0c61c5e452415aa7061f138808f3556e7b2557e274,f96502d86af88b541c7c46957db2c172f5f9669f4b6af37d2a0b9181980fccc2,no,CORE-GENERIC,5427,4006,opus,opus,Agent;Read;Edit;Grep;Glob;Bash;WebFetch;WebSearch;TaskCreate;TaskGet;TaskList;TaskUpdate;Write;AskUserQuestion,yes,yes,candido-cdo.md,candido-cdo.md
